"Genotype","Type","Row","Range","Rep","yld","tgw","lrow","lrange"
"DH_R268","DH","10","20","1",1.417,31,-3.5,9.5
"DH_R321","DH","11","20","1",1.2669,31.1,-2.5,9.5
"DH_R324","DH","12","20","1",1.0317,25.2,-1.5,9.5
"SOKOLL","OTHERS","13","20","1",3.1926,32.8,-0.5,9.5
"DH_R185","DH","14","20","2",2.6261,31.2,0.5,9.5
"DH_R321","DH","15","20","2",1.1204,41.1,1.5,9.5
"DH_R143","DH","16","20","2",1.1748,27,2.5,9.5
"DH_R157","DH","17","20","2",0.7679,28.3,3.5,9.5
"DH_R165","DH","18","20","2",1.7837,35.4,4.5,9.5
"DH_R036","DH","19","20","2",1.0285,36.6,5.5,9.5
"DH_R339","DH","20","20","2",1.4205,37.7,6.5,9.5
"DH_R205","DH","21","20","2",1.2487,30.6,7.5,9.5
"DH_R241","DH","22","20","2",1.0207,30.1,8.5,9.5
"DH_R331","DH","23","20","2",1.0973,31.4,9.5,9.5
"DH_R244","DH","24","20","2",1.4318,36.5,10.5,9.5
"DH_R024","DH","25","20","2",0.853,29.6,11.5,9.5
"DH_R199","DH","26","20","2",0.7079,34.4,12.5,9.5
